ID	chrom	loc.start	loc.end	seg	num.mark	nhet	cnlr.median	mafR	segclust	cnlr.median.clust	mafR.clust	cf	tcn	lcn	cf.em	tcn.em	lcn.em
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	1	13504	249212502	1	24144	2054	-0.166824458370351	0.124550617973704	9	-0.16767097207179	0.132490751765224	0.466052601929482	3	1	0.490645396661615	3	1
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	2	41602	243061250	2	19370	1394	-0.166174833240935	0.14432640253953	9	-0.16767097207179	0.132490751765224	0.466052601929482	3	1	0.490645396661615	3	1
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	3	361508	197896850	3	15119	1318	-0.0704160613930915	0.220169105449799	12	-0.0746584914296465	0.218335049229328	0.625865814137557	3	1	0.626634169840401	3	1
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	4	41300	191031350	4	10781	942	0.220482928922663	0.00815547562713696	19	0.245469781976157	0.0109930841600031	0.660681806376221	4	2	0.629398853374763	4	2
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	5	58500	180687650	5	11452	930	0.251352894684532	0.0139944120244485	19	0.245469781976157	0.0109930841600031	0.660681806376221	4	2	0.629398853374763	4	2
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	6	292539	170892848	6	11995	951	-0.17267954935369	2.5931987283124	10	-0.16767097207179	2.5931987283124	0.54611569917117	3	0	0.569650507364455	3	0
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	7	19837	138719231	7	9840	812	-0.0733829462542055	0.227480682390706	12	-0.0746584914296465	0.218335049229328	0.625865814137557	3	1	0.626634169840401	3	1
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	7	138719490	158486193	8	1771	201	-0.490908361116922	0.012458660832106	7	-0.481682430328295	0.0111377887924743	1	2	1	NA	2	1
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	7	158486250	159026014	9	68	10	-0.134526818414645	0.00193734082871235	11	-0.16767097207179	NA	0.625865814137557	3	NA	0.660681806376221	3	NA
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	8	116659	146290273	10	8139	655	0.481584811488254	0.101856145992505	22	0.483142774466006	0.101856145992505	0.625865814137557	5	2	0.624318865795678	5	2
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	9	14816	39178400	11	2737	251	-0.452791393911148	2.35196280087712	6	-0.481682430328295	2.03131568515137	0.625865814137557	2	0	0.632671254151616	2	0
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	9	39357600	69808546	12	207	66	-0.214691447996829	0.150873654512802	8	-0.214691447996829	0.150873654512802	0.466052601929482	3	1	0.660681806376221	3	NA
b4315cd86f87e64ad8cea666d7dbf3b2_Dual_purity	9	69830245	78749050	13	511	46	-0.473197517037062	2.06792457317342	6	-0.481682430328295	2.03131568515137	0.625865814137557	2	0	0.632671254151616	2	0
