ID	chrom	loc.start	loc.end	seg	num.mark	nhet	cnlr.median	mafR	segclust	cnlr.median.clust	mafR.clust	cf	tcn	lcn	cf.em	tcn.em	lcn.em
534337201be7ca6b06b4aa5b344e2213_Dual_purity	1	14930	249212429	1	18039	1376	0.0302728384900619	0.0182560554157387	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	2	41602	243061143	2	14945	1012	0.0363826403632427	0.00580717703458325	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	3	361430	197896700	3	11356	810	0.0194612595284293	1.83101333173783	6	0.0256703754352075	1.8476474778401	0.59128594895282	2	0	0.583905037217287	2	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	4	41350	191031400	4	8421	676	0.0304126153203491	0.0514424942527436	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	5	58550	49440739	5	1766	128	0.0257689372261516	0.00132593127260712	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	5	49695048	180687431	6	6977	455	-0.516563269106946	0.887213496538753	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	6	304500	25594653	7	991	82	0.0352749014923059	0.0371281273791634	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	6	25600900	57190750	8	2860	225	-0.517784018127377	0.887401216410877	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	6	57244672	170892792	9	5316	438	0.0151152260753282	0.121881198213566	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	7	19750	8790982	10	507	41	0.406830661351773	0.277836490087659	10	0.424817912144333	0.249001961878197	0.640274439334143	3	1	0.307265418054912	4	2
534337201be7ca6b06b4aa5b344e2213_Dual_purity	7	9766505	46039588	11	1732	143	0.0170512764215173	2.05458655843919	6	0.0256703754352075	1.8476474778401	0.59128594895282	2	0	0.583905037217287	2	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	7	46040000	158935050	12	6446	484	0.430792104585539	0.240952456810506	10	0.424817912144333	0.249001961878197	0.640274439334143	3	1	0.307265418054912	4	2
534337201be7ca6b06b4aa5b344e2213_Dual_purity	8	116895	36788693	13	1695	183	-0.526394686950052	0.914683084151402	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	8	36790550	39495058	14	272	5	2.02129404191709	2.6225468770275	17	2.02129404191709	NA	0.608530139692959	12	NA	0.608530139692959	12	NA
534337201be7ca6b06b4aa5b344e2213_Dual_purity	8	39495997	51465733	15	503	20	0.992779345550302	0.668291906274963	15	0.992779345550302	NA	0.608530139692959	5	NA	0.608530139692959	5	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	8	51503400	65528688	16	451	18	-0.00673305212421735	0.0742980356582882	7	0.0256703754352075	NA	1	2	NA	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	8	65536977	73342000	17	436	25	-0.506806604728784	1.01565200155364	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	8	73480400	146279479	18	2894	187	0.101992811963286	0.0767564146852251	8	0.0995426498078895	0.0451945173737487	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	9	117020	27609350	19	1152	86	-0.490866713634221	0.846806237315031	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	9	27610057	38616100	20	927	58	0.0917936838950689	0.0181004066190292	8	0.0995426498078895	0.0451945173737487	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	9	39086687	101053044	21	1880	170	-0.488475958074608	0.514900205244746	3	-0.512863730807922	0.494056686224946	0.543996760102554	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	9	101056108	141109900	22	3034	178	0.00449523532650461	0.0353893319937694	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	10	93315	17686334	23	881	84	0.0213478510168063	-0.0220253528452735	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	10	17702640	38692497	24	1057	97	-0.528690737964755	0.962644808792028	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	10	38896994	42680864	25	93	73	0.11180603907012	0.0166997755824118	8	0.0995426498078895	0.0451945173737487	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	10	42681283	127569329	26	5227	333	-0.514797735164527	0.947333412566404	2	-0.512863730807922	0.852317610914542	0.608530139692959	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	10	127668876	135454962	27	355	42	0.0402609070349392	0.0654699573115288	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
534337201be7ca6b06b4aa5b344e2213_Dual_purity	11	179401	7092462	28	861	127	-0.515811172321752	0.474317032625959	3	-0.512863730807922	0.494056686224946	0.543996760102554	1	0	0.608530139692959	1	0
534337201be7ca6b06b4aa5b344e2213_Dual_purity	11	7256000	16007977	29	641	55	0.417461252095682	0.423940144259654	10	0.424817912144333	0.249001961878197	0.640274439334143	3	1	0.307265418054912	4	2
534337201be7ca6b06b4aa5b344e2213_Dual_purity	11	16010750	65479745	30	3292	265	0.0285768629872585	0.0406977769374738	5	0.0256703754352075	0.0324391151880929	1	2	1	NA	2	1
